,동,0~4세,5~9세,10~14세,15~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상+
395,가락1동,0.529248672,0.457425883,0.314473804,0.251791461,0.484852715,0.727823837,0.553945803,0.511893828,0.512559559,0.339885089,0.250823191,0.297954003,0.061012813
396,가락2동,0.368425366,0.430726814,0.467172459,0.433806619,0.617897863,0.642578362,0.724448347,0.679278514,0.637318388,0.465990194,0.471311488,0.49413206,0.122025625
397,문정1동,0.253697912,0.18798324,0.189805496,0.213689927,0.439780688,0.476125757,0.373307518,0.448500932,0.467409907,0.330672226,0.29942171,0.377710794,0.183038438
398,문정2동,0.309354385,0.241926256,0.171652509,0.202902143,0.68372104,1.018169033,0.551696524,0.447394152,0.51339773,0.443677923,0.505935223,0.499511543,0.152532032
399,잠실본동,0.232186514,0.179810055,0.209026306,0.252020988,0.673390616,0.823336709,0.57717751,0.547546927,0.552958918,0.454628513,0.389486785,0.314741936,0.198291641
400,잠실4동,0.372181324,0.517635007,0.360657138,0.223330074,0.27477991,0.431454256,0.554180968,0.370003319,0.390340815,0.324285488,0.262111503,0.338105963,0.305064063
401,잠실6동,0.233210866,0.232663314,0.235454919,0.198770652,0.274582245,0.32679949,0.351606504,0.340022718,0.387171565,0.321470109,0.344490336,0.413030399,0.183038438
402,잠실7동,0.088094295,0.098078212,0.127070909,0.141847878,0.172923498,0.143109118,0.18318013,0.21032848,0.237799204,0.2590349,0.311697795,0.327096385,0.030506406
403,잠실2동,0.4742751,0.80805549,0.895903298,0.600672974,0.453444415,0.566493596,1.123788477,0.600076794,0.456692302,0.433469726,0.338707757,0.436793297,0.457596095
404,잠실3동,0.469153339,0.557683611,0.549394811,0.445742039,0.544321166,0.618982669,0.796976209,0.66711406,0.754856098,0.665648571,0.500501959,0.569204755,0.213544844
405,장지동,0.430227953,0.350902047,0.34197024,0.372752354,0.554661401,0.645331268,0.621571362,0.64223107,0.603547273,0.49232141,0.513753812,0.732205818,0.076266016
406,위례동,0.73616783,0.697172623,0.56060695,0.336257511,0.358668518,0.656523011,0.72619978,0.408181119,0.332201726,0.240334436,0.211609466,0.367647215,0.04575961
407,강일동,0.297403608,0.450342456,0.659914467,0.455152659,0.533102247,0.443709151,0.69607992,0.630865436,0.606595182,0.586169733,0.70118458,0.679847668,0.228798048
408,상일동,0.625879236,0.624158843,0.466905503,0.341307112,0.475504814,0.702152487,0.720937704,0.60626634,0.614964269,0.388486707,0.305132113,0.417463882,0.122025625
409,명일1동,0.338377699,0.316029794,0.312071202,0.327305946,0.442496534,0.547288974,0.542098444,0.522192167,0.568254831,0.438523033,0.414569075,0.526363053,0.167785235
410,명일2동,0.120873568,0.230483798,0.323817253,0.305730379,0.288943776,0.24484131,0.391190239,0.351839238,0.387795239,0.262689996,0.256003472,0.398533338,0.091519219
411,고덕1동,0.400863188,0.560408005,0.547526122,0.323633509,0.34106523,0.498106552,0.69329385,0.447837452,0.432345585,0.303211858,0.341779707,0.569603625,0.396583282
412,고덕2동,0.369791169,0.358530352,0.259480931,0.20749269,0.306573802,0.476352411,0.451213874,0.405676733,0.43251255,0.302757479,0.27535135,0.37516931,0.061012813
413,암사2동,0.271794802,0.179265176,0.134812624,0.12807624,0.267260328,0.383064794,0.312196961,0.285813877,0.305858096,0.313943473,0.247064471,0.196178057,0.183038438
414,암사3동,0.267697393,0.351174487,0.272828716,0.211853708,0.264410863,0.346818969,0.415286959,0.33928753,0.376662967,0.295397206,0.240546955,0.367100086,0.122025625
415,천호1동,0.264624336,0.215772066,0.204221103,0.255693425,0.507748824,0.545267761,0.529088144,0.600717842,0.701843038,0.641597462,0.54112524,0.614040809,0.213544844
416,천호3동,0.258136772,0.183351768,0.150029098,0.190507669,0.54161202,0.630256406,0.497988969,0.576006086,0.64109722,0.585892461,0.536848404,0.497619543,0.213544844
417,성내1동,0.254039362,0.233753072,0.220238445,0.221264328,0.358065019,0.436741323,0.434758768,0.386394125,0.414971786,0.364713979,0.312384565,0.367647215,0.076266016
418,성내2동,0.207260609,0.157742458,0.150296054,0.163652973,0.521253989,0.577920386,0.462124731,0.522268526,0.591181744,0.534272605,0.453264829,0.423641107,0.259304454
419,성내3동,0.230820711,0.181989571,0.206089793,0.257529643,0.486990419,0.470473715,0.466970218,0.50961672,0.516018553,0.473911802,0.364404495,0.348716671,0.167785235
420,둔촌1동,0,0.001634637,0.001334778,0.000918109,0.002877585,0.003308649,0.007009936,0.004154562,0.009157818,0.011097995,0.009637777,0.048471796,0.122025625
421,둔촌2동,0.290916044,0.289875604,0.265887868,0.307566597,0.510824765,0.525790664,0.512492263,0.577468059,0.631967585,0.490701383,0.482370828,0.513609734,0.183038438
422,암사1동,0.36569376,0.337280073,0.3283555,0.354160642,0.647793999,0.722634838,0.727208231,0.77777369,0.802608898,0.750958807,0.653598136,0.638350838,0.366076876
423,천호2동,0.346231067,0.246830167,0.226645381,0.254545788,0.652438276,0.833038629,0.660018589,0.777278671,0.809658502,0.782512533,0.634346737,0.770465778,0.366076876
424,길동,0.42476474,0.389860892,0.364928429,0.411771997,0.929118635,0.997397135,0.878320013,0.978159514,1.111398816,0.933643704,0.823632564,0.916827167,0.350823673
